date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:06	257/257	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Feb%202020%2004:04:06%20GMT	http://www.sunnyshutter.ca/web_contents/estimate	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/estimate.f.delayed	(from http://www.sunnyshutter.ca/)
23:04:07	48455/48455	---M--	200	added ('OK')	text/html	etag:%22bd47-59ef5d870cac0%22	http://www.sunnyshutter.ca/web_contents/portfolio/	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/portfolio/index.html	(from http://www.sunnyshutter.ca/)
23:04:07	32549/32549	---M--	200	added ('OK')	text/html	etag:%227f25-59ef5dae26700%22	http://www.sunnyshutter.ca/web_contents/testimonial/	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/testimonial/index.html	(from http://www.sunnyshutter.ca/)
23:04:07	35996/35996	---M--	200	added ('OK')	text/html	etag:%228c9c-59f0db4a8c49b%22	http://www.sunnyshutter.ca/web_contents/about/	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/about/index.html	(from http://www.sunnyshutter.ca/)
23:04:07	32486/32486	---M--	200	added ('OK')	text/html	etag:%227ee6-59ef5dddd5780%22	http://www.sunnyshutter.ca/web_contents/brochure/	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/brochure/index.html	(from http://www.sunnyshutter.ca/)
23:04:09	54720/54720	---M--	200	added ('OK')	text/html	etag:%22d5c0-59f0db042d790%22	http://www.sunnyshutter.ca/web_contents/estimate/	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/estimate/index.html	(from http://www.sunnyshutter.ca/)
23:04:20	231425/231425	---M--	200	added ('OK')	application/javascript	etag:%2238801-59e6badac6900%22	http://www.sunnyshutter.ca/scripts/1850.js	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/scripts/1850.js	(from http://www.sunnyshutter.ca/)
23:04:20	43/43	---M--	200	added ('OK')	image/gif	etag:%222b-59e68f878b180%22	http://www.sunnyshutter.ca/images/blank.gif	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/blank.gif	(from http://www.sunnyshutter.ca/)
23:04:20	195821/195821	---M--	200	added ('OK')	image/jpeg	etag:%222fced-59e6c489600c0%22	http://www.sunnyshutter.ca/images/shapes1.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/shapes1.jpg	(from http://www.sunnyshutter.ca/)
23:04:21	227/227	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:04:21%20GMT	http://www.sunnyshutter.ca/web_contents/service_estimate	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/service_estimate.14.delayed	(from http://www.sunnyshutter.ca/)
23:04:23	80907/80907	---M--	200	added ('OK')	image/jpeg	etag:%2213c0b-59e68f878b180%22	http://www.sunnyshutter.ca/images/IMG_4020.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/IMG_4020.jpg	(from http://www.sunnyshutter.ca/)
23:04:23	256/256	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Feb%202020%2004:04:24%20GMT	http://www.sunnyshutter.ca/web_contents/service	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/service.16.delayed	(from http://www.sunnyshutter.ca/)
23:04:23	230/230	---M--	403	error ('Forbidden')	text/html	date:Fri,%2021%20Feb%202020%2004:04:24%20GMT	http://www.sunnyshutter.ca/web_contents/service/	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/service/index.html	(from http://www.sunnyshutter.ca/)
23:04:27	103190/103190	---M--	200	added ('OK')	image/jpeg	etag:%2219316-59e68f878b180%22	http://www.sunnyshutter.ca/images/IMG_3896.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/IMG_3896.jpg	(from http://www.sunnyshutter.ca/)
23:04:35	86496/86496	---M--	200	added ('OK')	image/jpeg	etag:%22151e0-59e68f878b180%22	http://www.sunnyshutter.ca/images/IMG_1821.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/IMG_1821.jpg	(from http://www.sunnyshutter.ca/)
23:04:37	108049/108049	---M--	200	added ('OK')	image/jpeg	etag:%221a611-59e68f878b180%22	http://www.sunnyshutter.ca/images/IMG_3821.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/IMG_3821.jpg	(from http://www.sunnyshutter.ca/)
23:04:37	88955/88955	---M--	200	added ('OK')	image/jpeg	etag:%2215b7b-59e68f878b180%22	http://www.sunnyshutter.ca/images/Custom_wood_vinyl_shutter_1.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/Custom_wood_vinyl_shutter_1.jpg	(from http://www.sunnyshutter.ca/)
23:04:40	77916/77916	---M--	200	added ('OK')	image/jpeg	etag:%221305c-59e68f878b180%22	http://www.sunnyshutter.ca/images/Professional_installation_1.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/Professional_installation_1.jpg	(from http://www.sunnyshutter.ca/)
23:04:45	62142/62142	---M--	200	added ('OK')	image/jpeg	etag:%22f2be-59e68f878b180%22	http://www.sunnyshutter.ca/images/project_bg.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/project_bg.jpg	(from http://www.sunnyshutter.ca/)
